,IrIa_CC,Intra,Inter,L_CC,S_CC,f_I,f_II,f_III,f_IV,f_V,S_Dist,S_Ang,S_Ang/Dist,L_Seq_Len,L_Dist/Seq_Len,L_Ang,L_Ang*Dist,y
0,11.0,0.0,2.2,1.6,0.6,-0.2784,0.25,0.2794,0.3214,0.04760000000000002,2.0885412216186525,135.17776489257812,1.2943466954496476,9,1.770459493001302,85.1087875366211,15.068166083204169,1
1,0.5483870967741935,5.0,2.8333333333333335,7.0,0.8333333333333334,-0.17599999999999996,0.13883333333333334,-0.04600000000000004,0.022166666666666668,0.026666666666666682,1.7607844670613606,105.20977020263672,0.9957665130273664,9,1.770459493001302,85.1087875366211,15.068166083204169,1
2,0.19540229885057472,12.285714285714286,2.4285714285714284,12.142857142857142,2.5714285714285716,-0.2057142857142857,0.355,0.15057142857142855,0.1682857142857143,0.3177142857142857,2.2296506336757114,80.84140014648438,0.5179300907035187,9,1.770459493001302,85.1087875366211,15.068166083204169,1
3,0.1875,11.875,2.25,11.75,2.375,-0.25387499999999996,0.14787499999999998,0.04012499999999998,0.3435,0.25975000000000004,2.1904237270355225,80.66197204589844,0.46028405491725,9,1.770459493001302,85.1087875366211,15.068166083204169,1
4,0.1875,10.555555555555555,2.0,10.444444444444445,2.111111111111111,-0.2292222222222222,0.16766666666666666,0.28155555555555556,0.40622222222222226,0.37677777777777777,1.770459493001302,85.1087875366211,0.5340951626864953,9,1.770459493001302,85.1087875366211,15.068166083204169,1
5,0.1875,11.875,2.25,11.75,2.375,-0.282875,0.08487499999999998,-0.07037499999999997,0.5617500000000001,0.234875,1.797873616218567,85.62506103515625,0.595280359664829,9,1.770459493001302,85.1087875366211,15.068166083204169,1
6,0.17708333333333334,13.571428571428571,2.4285714285714284,13.428571428571429,2.5714285714285716,-0.1777142857142857,0.238,0.13457142857142854,0.46114285714285713,0.39871428571428574,2.2128478458949496,135.37533569335938,0.8739003577345583,9,1.770459493001302,85.1087875366211,15.068166083204169,1
7,0.11458333333333333,15.833333333333334,1.8333333333333333,15.0,2.6666666666666665,-0.3823333333333334,0.2273333333333333,0.7663333333333333,0.5811666666666666,1.0054999999999998,2.5520588556925454,139.28607177734375,0.9095726491585747,9,1.770459493001302,85.1087875366211,15.068166083204169,1
8,0.09375,19.0,1.8,17.6,3.2,-0.382,-0.05760000000000002,0.6536,0.48840000000000006,0.7938000000000001,2.591699981689453,100.59620666503906,0.7762352511725272,9,1.770459493001302,85.1087875366211,15.068166083204169,1
9,0.0,0.0,0.0,0.0,0.0,0.47739999999999994,0.08099999999999999,-0.028999999999999915,0.031199999999999985,0.7849999999999999,2.4932769775390624,151.4926300048828,1.2151115199338915,61,0.4183043182873335,46.65616226196289,1.9516474148893603,0
10,0.0,0.0,0.0,0.0,0.0,0.624,-0.17466666666666666,0.2220000000000001,0.044833333333333315,0.5146666666666665,2.2635504404703775,131.8658905029297,0.9708655002811017,62,0.35589378110824094,33.58940887451172,1.1954261729540678,0
11,0.0,0.0,0.0,0.0,0.0,0.7287142857142858,-0.3572857142857143,0.40128571428571436,0.054571428571428555,0.3215714285714285,2.1170861380440846,123.30512237548828,0.831984519494892,63,0.3233183906191871,34.634033203125,1.1197819875885866,0
12,1.0,0.0,0.125,0.125,0.0,0.80725,-0.4942500000000001,0.5357500000000001,0.061874999999999986,0.17674999999999993,2.1298506259918213,151.49493408203125,0.8890649512214943,64,0.35278749465942383,40.28189468383789,1.4210948705645932,0
13,0.05263157894736842,2.0,0.1111111111111111,2.111111111111111,0.0,0.6043333333333334,-0.549,0.30900000000000005,0.19566666666666666,0.05577777777777772,2.103884802924262,148.1885528564453,0.7825773164286873,65,0.3525068136361929,26.557437896728516,0.9361677811316846,0
14,0.047619047619047616,2.2222222222222223,0.1111111111111111,2.3333333333333335,0.0,0.6526666666666667,-0.2242222222222223,-0.4664444444444444,0.38177777777777777,-0.373,1.6633811526828342,142.92593383789062,0.9546578400732676,66,0.2946773875843395,16.382169723510742,0.48274549770874065,0
15,0.047619047619047616,2.2222222222222223,0.1111111111111111,2.3333333333333335,0.0,0.5658888888888889,-0.12833333333333335,-0.9318888888888888,0.3837777777777778,-0.9163333333333333,1.712545288933648,166.40475463867188,1.079575400038878,67,0.3137576544462745,25.880157470703125,0.812009750470804,0
16,0.2727272727272727,2.3333333333333335,0.6666666666666666,3.0,0.0,0.49533333333333335,-0.42155555555555557,-1.2468888888888887,0.4083333333333334,-1.247,1.5221388075086806,169.05715942382812,1.2339714126508983,68,0.3468134262982537,26.20195960998535,0.9087191388067475,0
