,Inter/Intra_CC,Intra_CC,Inter_CC,Long_CC,Short_CC,f_I,f_II,f_III,f_IV,f_V,Dist,Angle,Seq_Len,Chain_Dist/Seq_Len,Chain_Angle,Lip_Flag
0,28.0,0.0,2.1538461538461537,0.15384615384615385,2.0,0.3915384615384614,-0.15269230769230765,-0.3127692307692308,0.05015384615384617,0.3041538461538461,1.663156509399414,163.15396118164062,22,1.0443477630615234,76.91427612304688,1
1,28.0,0.0,1.8666666666666667,0.13333333333333333,1.7333333333333334,0.4357999999999999,-0.05960000000000002,-0.1468666666666665,0.09466666666666666,0.5110666666666666,1.3313105265299479,101.06680297851562,22,1.0443477630615234,76.91427612304688,1
2,19.0,0.0,1.1176470588235294,0.0,1.1176470588235294,0.5252941176470588,0.10158823529411766,-1.217117647058823,0.16288235294117648,0.005470588235294136,1.33322670880486,74.57530975341797,22,1.0443477630615234,76.91427612304688,0
3,21.0,0.0,1.1666666666666667,0.05555555555555555,1.1111111111111112,0.45927777777777773,0.011277777777777795,-1.0262222222222217,0.09800000000000002,0.07250000000000001,1.3175731235080295,69.70449829101562,22,1.0443477630615234,76.91427612304688,0
4,22.0,0.0,1.1578947368421053,0.05263157894736842,1.105263157894737,0.3821578947368421,-0.020368421052631563,-0.8726842105263152,0.07194736842105265,0.09036842105263158,1.3951426054302014,76.49700164794922,22,1.0443477630615234,76.91427612304688,0
5,28.0,0.0,1.4,0.1,1.3,0.46440000000000003,-0.10104999999999997,-0.45375000000000015,0.06639999999999999,0.36624999999999996,1.1376461029052733,79.72896575927734,22,1.0443477630615234,76.91427612304688,1
6,28.0,0.0,1.4,0.1,1.3,0.45459999999999995,-0.047399999999999984,-0.8023999999999993,0.054500000000000014,0.16825,1.220467758178711,75.19646453857422,22,1.0443477630615234,76.91427612304688,1
7,28.0,0.0,2.0,0.14285714285714285,1.8571428571428572,0.33614285714285713,-0.02378571428571429,-0.19542857142857134,0.12121428571428572,0.4298571428571428,1.535444668361119,148.02996826171875,22,1.0443477630615234,76.91427612304688,1
8,28.0,0.0,2.5454545454545454,0.18181818181818182,2.3636363636363638,0.3988181818181817,-0.2913636363636363,0.3362727272727273,0.04409090909090912,0.7685454545454544,1.6716076244007458,125.88860321044922,22,1.0443477630615234,76.91427612304688,1
9,28.0,0.0,1.5555555555555556,0.1111111111111111,1.4444444444444444,0.5539444444444445,-0.03427777777777771,-0.3276111111111112,0.08533333333333333,0.46194444444444444,1.0937619739108615,75.35343933105469,22,1.0443477630615234,76.91427612304688,1
10,0.0,3.65,0.0,0.1,3.55,0.2856,0.050949999999999926,0.8955499999999998,0.2628,0.3818,1.147386360168457,72.36788940429688,93,0.7250799363659274,132.6157684326172,0
11,0.1566265060240964,4.1,0.65,0.8,3.95,0.17725000000000005,-0.008500000000000063,0.25025000000000003,0.09430000000000002,0.29009999999999997,0.6015150070190429,79.61848449707031,93,0.7250799363659274,132.6157684326172,0
12,0.23529411764705882,3.35,0.8,0.65,3.5,-0.30199999999999994,0.398,0.08525,0.38459999999999994,0.3064,0.6987012386322021,35.5564079284668,93,0.7250799363659274,132.6157684326172,0
13,0.41304347826086957,4.090909090909091,1.7272727272727273,0.2727272727272727,5.545454545454546,-0.12900000000000003,0.34690909090909083,0.6439090909090909,0.5195454545454545,0.9774545454545455,2.877664566040039,146.85159301757812,93,0.7250799363659274,132.6157684326172,0
14,0.02631578947368421,4.166666666666667,0.1111111111111111,0.8333333333333334,3.4444444444444446,0.3415000000000001,0.4585,-0.34850000000000003,-0.2991111111111111,-0.012611111111111094,1.3504329257541232,132.9203643798828,93,0.7250799363659274,132.6157684326172,0
15,0.0,4.95,0.0,0.15,4.8,0.32515000000000005,0.15755,1.08705,0.1424,0.4647,1.1682746887207032,122.38729858398438,93,0.7250799363659274,132.6157684326172,0
16,0.2222222222222222,3.55,0.8,0.65,3.7,-0.13084999999999997,0.44075,0.03925000000000004,0.27625000000000005,0.26159999999999994,0.49391517639160154,17.366186141967773,93,0.7250799363659274,132.6157684326172,0
17,0.0,4.9,0.0,0.15,4.75,0.36895,0.3598,0.8490499999999999,0.11489999999999993,0.6404,1.0386356353759765,42.52424621582031,93,0.7250799363659274,132.6157684326172,0
18,0.04054054054054054,3.65,0.15,0.1,3.7,0.3435,0.0829,0.60845,0.21879999999999997,0.25549999999999995,1.0442622184753418,71.18601989746094,93,0.7250799363659274,132.6157684326172,0
19,0.30158730158730157,4.133333333333334,1.2666666666666666,0.2,5.2,-0.33173333333333327,0.2722666666666666,0.5966,0.5135333333333334,0.8820666666666667,1.3267047882080079,39.762779235839844,93,0.7250799363659274,132.6157684326172,0
20,43.0,0.0,2.6875,0.3125,2.375,0.16262499999999996,0.024,-0.676125,0.29312499999999997,-0.5844374999999998,2.8893795013427734,158.7716827392578,24,2.6956249872843423,150.30966186523438,1
21,43.0,0.0,2.5294117647058822,0.29411764705882354,2.235294117647059,0.21482352941176466,0.040352941176470584,-0.8514117647058823,0.26064705882352934,-0.7407647058823528,2.9095342299517464,161.52740478515625,24,2.6956249872843423,150.30966186523438,1
22,28.0,0.0,2.0,0.35714285714285715,1.6428571428571428,0.35700000000000004,0.009357142857142826,-0.3455,-0.11314285714285714,-0.43314285714285716,2.9946716853550504,160.17654418945312,24,2.6956249872843423,150.30966186523438,1
23,44.0,0.0,2.4444444444444446,0.2777777777777778,2.1666666666666665,0.2553888888888889,0.0841111111111111,-0.7319444444444445,0.23677777777777775,-0.6477777777777776,2.954959021674262,158.15145874023438,24,2.6956249872843423,150.30966186523438,1
24,24.0,0.0,2.0,0.3333333333333333,1.6666666666666667,0.24816666666666665,-0.11575000000000002,-0.3118333333333334,-0.14400000000000002,-0.5266666666666667,2.9530509312947593,166.5283203125,24,2.6956249872843423,150.30966186523438,0
25,29.0,0.0,1.7058823529411764,0.29411764705882354,1.411764705882353,0.4500588235294117,0.07476470588235296,-0.7482352941176471,-0.08529411764705881,-0.6061764705882352,2.773868112003102,148.8238067626953,24,2.6956249872843423,150.30966186523438,1
26,30.0,0.0,2.3076923076923075,0.15384615384615385,2.1538461538461537,0.3469999999999999,0.14907692307692308,-1.0128461538461537,0.4744615384615385,-0.8077692307692307,2.843828348013071,168.23431396484375,24,2.6956249872843423,150.30966186523438,1
27,28.0,0.0,2.1538461538461537,0.38461538461538464,1.7692307692307692,0.3699230769230769,-0.15000000000000002,-0.24684615384615374,-0.15423076923076923,-0.3593846153846154,3.009288787841797,159.92039489746094,24,2.6956249872843423,150.30966186523438,1
28,34.0,0.0,2.4285714285714284,0.14285714285714285,2.2857142857142856,0.23371428571428568,0.09935714285714285,-0.7882857142857143,0.46864285714285714,-0.6917857142857142,2.8932127271379744,151.35105895996094,24,2.6956249872843423,150.30966186523438,1
29,37.0,0.0,1.85,0.25,1.6,0.38194999999999996,-0.006749999999999995,-0.4787,0.04064999999999996,-0.5545499999999998,2.864343452453613,156.76507568359375,24,2.6956249872843423,150.30966186523438,1
30,0.3953488372093023,2.1,0.85,0.4,2.55,0.24555000000000002,-0.27875,-0.15599999999999994,-0.16230000000000003,-0.04384999999999999,0.7702314376831054,74.36573028564453,88,0.12100684642791748,16.251827239990234,0
31,0.30303030303030304,2.0,0.625,0.125,2.5,-0.0013749999999999526,0.01699999999999998,-0.10106250000000003,0.5129374999999999,0.25206249999999997,1.4688950777053833,129.6732177734375,88,0.12100684642791748,16.251827239990234,0
32,0.0,2.75,0.0,0.25,2.5,-0.04400000000000002,-0.28925,-0.5100999999999999,0.57345,-0.14850000000000016,0.8148647308349609,74.01302337646484,88,0.12100684642791748,16.251827239990234,0
33,0.0,3.1,0.0,0.2,2.9,-0.08859999999999998,-0.0954,-1.2342,0.7138000000000001,-0.5244500000000002,0.6810812950134277,33.276676177978516,88,0.12100684642791748,16.251827239990234,0
34,0.0,2.85,0.0,0.3,2.55,-0.09455000000000002,-0.06465000000000005,-0.6184499999999998,0.704,-0.2954500000000001,0.5025660514831543,35.404972076416016,88,0.12100684642791748,16.251827239990234,0
35,0.0,2.85,0.0,0.25,2.6,-0.0015000000000000234,-0.43055000000000004,-0.30679999999999985,0.5568500000000001,-0.13825000000000004,0.5670306205749511,48.03634262084961,88,0.12100684642791748,16.251827239990234,0
36,0.04878048780487805,4.05,0.2,0.7,3.55,-0.2851,0.0869,-0.608,0.32545,-0.6348499999999999,0.40892529487609863,22.365385055541992,88,0.12100684642791748,16.251827239990234,0
37,0.0,2.7777777777777777,0.0,0.16666666666666666,2.611111111111111,-0.1436666666666667,-0.07327777777777779,-1.1112222222222223,0.7555000000000001,-0.6097222222222224,0.9751774470011393,62.98806381225586,88,0.12100684642791748,16.251827239990234,0
38,0.32653061224489793,2.4,0.8,0.4,2.8,-0.06875000000000002,-0.35845000000000005,0.6998999999999997,0.01205000000000001,0.3912,1.386702823638916,158.6552276611328,88,0.12100684642791748,16.251827239990234,0
39,0.23880597014925373,3.3,0.8,0.6,3.5,0.02344999999999997,-0.3166,0.31515000000000004,0.3458500000000001,0.048650000000000054,0.7469406127929688,45.17593002319336,88,0.12100684642791748,16.251827239990234,0
40,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
41,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
42,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
43,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
44,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
45,5.6,0.4,2.8,0.4,2.8,-0.06799999999999998,-0.35290000000000005,-0.6144999999999999,0.2428,-0.6273,1.6388607025146484,147.44825744628906,11,1.4898733659224077,147.44825744628906,1
